"","sample_id","Station","Latitude","Longitude","Depth m","CTD cast (to be checked)","depth_numeric","Cast","Cycle","Pressure [db]","Temp1 [°C]","Salinity1[PSS-78]","Oxygen1 [mmol/kg]","Fluorescence1 [milligrams/m^3]","Fluor average [mg m^-3]","easy_long","updated_cycle","bloom_state","water_mode","number_long","total_contigs","total_basepairs","max_contig","med_contig","avg_contig","bottom_percentile","top_percentil","n_virus","n_circular","sample","average_gc","per_read_gc","gc_var","mean_read_length","total_reads","total_bp","direction"
"67","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",70.67275,9.10551666666667,34.370592494358,272.487375,0.87756125,0.744356145833333,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R1_001",41.1810841044905,40.8762349210834,0.00913353252014402,81.2835743754556,50779299,4127522927,"F"
"68","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",70.67275,9.10551666666667,34.370592494358,272.487375,0.87756125,0.744356145833333,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R2_001",41.0317191064852,40.7550230453928,0.00930994432308125,81.3086301959387,50779299,4128795244,"R"
"69","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",69.6514583333333,9.10152083333334,34.3701807622086,271.280930232558,0.823170833333333,0.688539375,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R1_001",41.1810841044905,40.8762349210834,0.00913353252014402,81.2835743754556,50779299,4127522927,"F"
"70","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",69.6514583333333,9.10152083333334,34.3701807622086,271.280930232558,0.823170833333333,0.688539375,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R2_001",41.0317191064852,40.7550230453928,0.00930994432308125,81.3086301959387,50779299,4128795244,"R"
"71","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",69.5485833333333,9.10197916666667,34.3701000966623,271.63119047619,0.884730625,0.719123229166667,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R1_001",41.1810841044905,40.8762349210834,0.00913353252014402,81.2835743754556,50779299,4127522927,"F"
"72","NZ_10",189,-44.5438333333333,179.537666666667,"70",9137,70,1,"2",69.5485833333333,9.10197916666667,34.3701000966623,271.63119047619,0.884730625,0.719123229166667,179.537666666667,"2","Salp","Subantarctic",313,168519,124132660,130006,481,736.609284413033,369,730,3631,2,"NZ10_S201_L003_R2_001",41.0317191064852,40.7550230453928,0.00930994432308125,81.3086301959387,50779299,4128795244,"R"
"73","NZ_11",227,-42.775,178.345333333333,"10",9145,10,1,"3",10.0779795918367,13.3113510204082,34.9898332848956,252.837857142857,2.64294081632653,2.05525204081633,178.345333333333,"3","No salp","Subtropical Pacific",890,240660,188070618,247285,469,781.478509099975,366,704,4165,12,"NZ11_S202_L003_R1_001",42.418179570451,42.2196551672631,0.00915402485321097,86.0354898582411,114723986,9870334334,"F"
"74","NZ_11",227,-42.775,178.345333333333,"10",9145,10,1,"3",10.0779795918367,13.3113510204082,34.9898332848956,252.837857142857,2.64294081632653,2.05525204081633,178.345333333333,"3","No salp","Subtropical Pacific",890,240660,188070618,247285,469,781.478509099975,366,704,4165,12,"NZ11_S202_L003_R2_001",42.2075781387435,42.0381124239613,0.00941552214604943,86.1480753379681,114723986,9883250589,"R"
"75","NZ_11",227,-42.775,178.345333333333,"10",9145,10,1,"3",10.1424583333333,13.31116875,34.9899037693382,253.280166666667,2.52269791666667,1.96771354166667,178.345333333333,"3","No salp","Subtropical Pacific",890,240660,188070618,247285,469,781.478509099975,366,704,4165,12,"NZ11_S202_L003_R1_001",42.418179570451,42.2196551672631,0.00915402485321097,86.0354898582411,114723986,9870334334,"F"
"76","NZ_11",227,-42.775,178.345333333333,"10",9145,10,1,"3",10.1424583333333,13.31116875,34.9899037693382,253.280166666667,2.52269791666667,1.96771354166667,178.345333333333,"3","No salp","Subtropical Pacific",890,240660,188070618,247285,469,781.478509099975,366,704,4165,12,"NZ11_S202_L003_R2_001",42.2075781387435,42.0381124239613,0.00941552214604943,86.1480753379681,114723986,9883250589,"R"
"77","NZ_11",227,-42.775,178.345333333333,"10",9145,10,1,"3",9.8725625,13.3099354166667,34.9899338036017,253.252341463415,2.75017916666667,2.15069583333333,178.345333333333,"3","No salp","Subtropical Pacific",890,240660,188070618,247285,469,781.478509099975,366,704,4165,12,"NZ11_S202_L003_R1_001",42.418179570451,42.2196551672631,0.00915402485321097,86.0354898582411,114723986,9870334334,"F"
"78","NZ_11",227,-42.775,178.345333333333,"10",9145,10,1,"3",9.8725625,13.3099354166667,34.9899338036017,253.252341463415,2.75017916666667,2.15069583333333,178.345333333333,"3","No salp","Subtropical Pacific",890,240660,188070618,247285,469,781.478509099975,366,704,4165,12,"NZ11_S202_L003_R2_001",42.2075781387435,42.0381124239613,0.00941552214604943,86.1480753379681,114723986,9883250589,"R"
